Event	Astro_ependymal	Cerebellum	Cholinergic_monoaminergic	Cortex_hippocampus_thalamus	Cortex_hippocampus	di_mesencephalon_1	di_mesencephalon_2	Ensheathing_satelliteGlia	Granule_neurons	Hindbrain	Immune	Medium_spiny_neurons	Neuroblasts_1	Neuroblasts_2	Olfactory_bulb	Oligo_dendrocyte	Peptidergic	Spinal_cord_1	Spinal_cord_2	Vascular
Gm2694	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-134N2.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Birc5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Npas1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asic1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Grm4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csf1r	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Abhd11os	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Timp4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gng8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Lhx8	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Arap2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Arx	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adora2a	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Fcmr	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Gchfr	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
