uniq_ID	Field_of_View	cell_types
cell_849	6	Choroid Plexus
cell_850	6	Choroid Plexus
cell_851	6	Choroid Plexus
cell_852	6	Choroid Plexus
cell_853	6	Choroid Plexus
cell_854	6	Choroid Plexus
cell_855	6	Choroid Plexus
cell_856	6	Choroid Plexus
cell_857	6	Choroid Plexus
cell_858	6	Choroid Plexus
cell_859	6	Choroid Plexus
cell_860	6	Choroid Plexus
cell_861	6	Neural Stem
cell_862	6	Choroid Plexus
cell_863	6	Endothelial
cell_864	6	Choroid Plexus
cell_865	6	Choroid Plexus
cell_866	6	Endothelial
cell_867	6	Choroid Plexus
cell_868	6	Endothelial
cell_869	6	Choroid Plexus
cell_870	6	Choroid Plexus
cell_871	6	Choroid Plexus
cell_872	6	Choroid Plexus
cell_873	6	Choroid Plexus
cell_874	6	Choroid Plexus
cell_875	6	Choroid Plexus
cell_876	6	Choroid Plexus
cell_877	6	Choroid Plexus
cell_878	6	Choroid Plexus
cell_879	6	Choroid Plexus
cell_880	6	Endothelial
cell_881	6	Choroid Plexus
cell_882	6	Endothelial
cell_883	6	Choroid Plexus
cell_884	6	Choroid Plexus
cell_885	6	Choroid Plexus
cell_886	6	Endothelial
cell_887	6	Endothelial
cell_888	6	Endothelial
cell_889	6	Choroid Plexus
cell_890	6	Choroid Plexus
cell_891	6	Choroid Plexus
cell_892	6	Choroid Plexus
cell_893	6	Choroid Plexus
cell_894	6	Endothelial
cell_895	6	Choroid Plexus
cell_896	6	Choroid Plexus
cell_897	6	Choroid Plexus
cell_898	6	Choroid Plexus
cell_899	6	Choroid Plexus
cell_900	6	Choroid Plexus
cell_901	6	Choroid Plexus
cell_902	6	Microglia
cell_903	6	Endothelial
cell_904	6	Endothelial
cell_905	6	Choroid Plexus
cell_906	6	Choroid Plexus
cell_907	6	Choroid Plexus
cell_908	6	Choroid Plexus
cell_909	6	Choroid Plexus
cell_910	6	Choroid Plexus
cell_911	6	Endothelial
cell_912	6	Choroid Plexus
cell_913	6	Microglia
