Field of View,Cell ID,X,Y
5,589,1583.49,782.55
5,590,1539.62,1033.20
5,591,1535.05,1845.20
5,592,1525.50,532.17
5,593,1518.26,415.90
5,594,1503.56,671.41
5,595,1490.68,1416.10
5,596,1482.60,789.24
5,597,1464.76,1366.00
5,598,1445.41,1822.70
5,599,1435.85,956.77
5,600,1427.23,310.11
5,601,1414.89,1147.50
5,602,1401.27,769.97
5,603,1386.95,648.65
5,604,1351.88,1771.90
5,605,1317.44,1009.10
5,606,1297.48,364.90
5,607,1264.53,1248.80
5,608,1251.34,1754.70
5,609,1242.97,1156.60
5,610,1242.52,769.09
5,611,1216.14,289.10
5,612,1205.88,197.86
5,613,1183.08,370.67
5,614,1157.47,1808.70
5,615,1134.59,334.21
5,616,1104.31,955.73
5,617,1086.58,813.56
5,618,1074.68,408.08
5,619,1046.10,376.77
5,620,1019.60,893.65
5,621,1005.20,354.42
5,622,966.70,1627.90
5,623,818.40,828.06
5,624,798.80,995.70
5,625,765.10,1293.60
5,626,765.40,991.98
5,627,761.70,735.77
5,628,724.00,935.97
5,629,709.70,1433.20
5,630,602.10,407.80
5,631,542.10,616.16
5,632,516.50,411.79
5,633,492.10,508.45
5,634,452.90,583.78
5,635,441.30,678.82
5,636,381.00,684.74
5,637,370.50,975.84
5,638,326.00,466.77
5,639,283.90,768.28
5,640,1792.91,1544.40
5,641,1748.63,1507.10
5,642,1721.39,1569.10
5,643,1719.56,1433.70
5,644,1681.10,1326.80
5,645,1679.92,1518.60
5,646,1657.46,1571.70
5,647,1642.12,1191.20
5,648,1641.64,1237.00
5,649,1621.57,1494.00
5,650,1612.95,1534.40
5,651,1605.02,1436.60
5,652,1591.16,1193.70
5,653,1579.68,1347.00
5,654,1568.06,1446.70
5,655,1551.60,1514.10
5,656,1547.00,1385.50
5,657,1539.28,1336.70
5,658,1525.17,1288.20
5,659,1516.67,1451.10
5,660,1513.70,1205.00
5,661,1496.63,1296.70
5,662,1485.32,1325.80
5,663,1475.56,1261.70
5,664,1446.89,1280.90
5,665,1427.73,1215.30
5,666,1417.14,1068.60
5,667,1400.40,1256.20
5,668,1389.65,1313.20
5,669,1390.56,1192.10
5,670,1364.42,1161.90
5,671,1360.02,987.56
5,672,1350.68,1117.10
5,673,1338.82,1221.70
5,674,1315.16,1181.90
5,675,1309.95,1277.60
5,676,1295.45,1134.90
5,677,1274.87,943.41
5,678,1266.37,1197.00
5,679,1256.31,465.62
5,680,1258.88,555.58
5,681,1243.76,1104.50
5,682,1242.30,1020.00
5,683,1231.86,926.48
5,684,1225.06,1232.20
5,685,1223.88,601.20
5,686,1205.79,1048.30
5,687,1200.53,691.21
5,688,1189.33,617.23
5,689,1191.51,1223.00
5,690,1185.51,747.81
5,691,1178.15,969.54
5,692,1179.21,1196.30
5,693,1162.75,1166.20
5,694,1165.28,671.17
5,695,1153.03,427.64
5,696,1152.88,1333.40
5,697,1146.56,765.03
5,698,1143.37,503.13
5,699,1148.23,1082.50
5,700,1139.00,707.70
5,701,1132.61,1469.70
5,702,1128.30,1531.20
5,703,1115.22,1033.40
5,704,1115.22,551.75
5,705,1116.70,1396.70
5,706,1113.69,1318.20
5,707,1105.75,1583.80
5,708,1099.95,1125.10
5,709,1103.97,457.33
5,710,1099.32,743.39
5,711,1092.79,1477.60
5,712,1088.87,347.56
5,713,1091.11,1194.70
5,714,1082.43,684.86
5,715,1084.01,1632.80
5,716,1078.09,524.04
5,717,1074.40,1547.10
5,718,1072.79,1599.00
5,719,1063.47,1038.80
5,720,1065.00,1753.90
5,721,1066.07,1670.60
5,722,1058.84,1701.50
5,723,1049.38,1283.50
5,724,1042.20,1084.10
5,725,1042.10,1725.60
5,726,1030.00,526.26
5,727,1028.50,576.41
5,728,1030.40,1625.50
5,729,1026.40,1685.60
5,730,1021.00,1792.30
5,731,1010.30,1497.00
5,732,1011.70,1764.10
5,733,1002.20,405.72
5,734,998.20,1011.20
5,735,998.50,1451.90
5,736,996.70,452.61
5,737,991.70,1731.50
5,738,992.20,1406.40
5,739,986.60,1084.60
5,740,971.30,1527.90
5,741,971.30,1567.90
5,742,956.80,494.96
5,743,965.00,911.84
5,744,955.90,1755.30
5,745,950.60,1066.30
5,746,954.40,1482.10
5,747,950.20,438.82
5,748,948.30,379.99
5,749,946.00,676.38
5,750,935.10,1790.60
5,751,935.60,1424.40
5,752,935.40,1604.90
5,753,929.10,1661.90
5,754,912.50,1018.30
5,755,907.50,725.92
5,756,904.80,1693.70
5,757,905.30,430.84
5,758,904.20,777.81
5,759,903.70,512.39
5,760,901.90,1081.60
5,761,894.40,1314.40
5,762,885.60,483.26
5,763,877.40,820.82
5,764,875.10,1383.30
5,765,858.30,1264.20
5,766,853.80,466.23
5,767,853.20,902.94
5,768,855.90,961.03
5,769,844.10,416.60
5,770,844.00,1167.40
5,771,836.00,763.60
5,772,832.70,1013.20
5,773,830.10,1731.20
5,774,823.90,1073.50
5,775,815.80,909.97
5,776,812.10,1651.60
5,777,807.30,1701.90
5,778,803.50,633.35
5,779,789.90,1213.10
5,780,780.60,922.88
5,781,774.50,1073.80
5,782,765.80,1369.40
5,783,760.00,1146.50
5,784,749.60,543.26
5,785,739.10,781.33
5,786,735.60,628.89
5,787,724.10,1011.00
5,788,722.70,1340.40
5,789,724.10,1078.50
5,790,712.30,701.92
5,791,713.10,1132.90
5,792,717.00,1390.70
5,793,664.80,1129.00
5,794,654.20,1187.00
5,795,652.70,1338.90
5,796,624.40,1263.10
5,797,626.40,1414.20
5,798,600.30,1061.10
5,799,593.30,912.22
5,800,542.60,1636.40
5,801,498.80,1517.50
5,802,378.10,598.46
5,803,364.70,342.92
5,804,1038.10,817.56
6,805,1450.99,689.58
6,806,1391.68,1301.40
6,807,1342.48,1462.70
6,808,1273.32,1106.10
6,809,1252.21,1186.70
6,810,1208.86,271.67
6,811,1103.93,317.41
6,812,1039.60,407.83
6,813,1004.70,687.62
6,814,994.40,1261.30
6,815,961.40,844.06
6,816,939.10,1243.90
6,817,926.20,912.97
6,818,885.60,1241.40
6,819,760.50,1230.40
6,820,747.40,1689.10
6,821,728.20,427.49
6,822,673.40,1269.70
6,823,665.90,387.50
6,824,663.00,1616.00
6,825,593.50,387.68
6,826,583.80,739.29
6,827,523.00,853.00
6,828,498.30,1331.70
6,829,500.60,370.57
6,830,487.00,788.33
6,831,489.10,440.33
6,832,450.70,922.88
6,833,456.50,1107.80
6,834,378.30,1256.80
6,835,1651.32,1616.20
6,836,1619.85,1175.00
6,837,1605.61,1503.90
6,838,1567.65,1214.90
6,839,1564.40,1643.30
6,840,1513.26,1163.70
6,841,1470.33,454.92
6,842,1459.00,595.53
6,843,1452.13,324.02
6,844,1419.17,906.00
6,845,1421.66,786.31
6,846,1386.21,254.13
6,847,1386.07,443.96
6,848,1368.31,380.39
6,849,1331.20,906.68
6,850,1329.32,1280.70
6,851,1317.34,323.03
6,852,1292.08,1682.40
6,853,1290.22,202.05
6,854,1221.20,978.54
6,855,1208.52,1324.80
6,856,1160.23,1027.80
6,857,1127.52,1090.80
6,858,1120.91,1240.00
6,859,1109.62,1188.40
6,860,1120.09,1351.30
