"V1" "V2" "V3"
"22097" 13 1487 63
"27229" 602 1353 78
"18405" 518 1124 60
"5271" 576 660 18
"33329" 1659 1266 92
"4799" 259 806 25
"29115" 174 1252 82
"22953" 429 1161 68
"10557" 1566 1292 32
"31650" 1072 514 86
"15238" 4 398 45
"4156" 811 676 21
"23678" 159 384 72
"31841" 323 667 94
"18429" 627 416 52
"10740" 747 63 32
"547" 864 1236 7
"18499" 919 1362 52
"5433" 1148 811 31
"26972" 1071 280 78
"4227" 1045 274 16
"22161" 269 1266 70
"14432" 57 178 42
"26957" 1038 140 77
"16488" 347 1460 53
"4263" 1182 343 17
"23714" 338 911 66
"8300" 402 47 33
"33539" 804 1328 94
"6457" 681 491 23
"24542" 615 535 78
"16260" 975 738 53
"4693" 1277 740 22
"17149" 1545 1496 48
"31859" 404 1387 87
"8709" 512 557 35
"22496" 74 1167 77
"27496" 168 1095 82
"23664" 110 261 69
"27598" 566 268 77
"17446" 1181 1076 55
"5120" 1550 1528 21
"19992" 897 312 59
"5191" 251 119 22
"24868" 284 1517 71
"7657" 915 557 27
"7990" 659 107 36
"4632" 1083 803 19
"15563" 1215 1090 46
"11062" 519 156 38
"27865" 72 246 89
"18472" 804 1021 52
"17203" 185 90 49
"15334" 468 1249 55
"30232" 122 226 83
"3095" 790 1170 18
"21393" 404 171 69
"25980" 187 158 74
"13593" 1291 1127 39
"22958" 454 1080 68
"16418" 64 785 53
"24931" 589 442 79
"11729" 1447 1509 39
"1550" 1317 1341 10
"31378" 1442 1012 91
"23781" 677 1126 72
"32108" 1338 1075 91
"1768" 874 1380 8
"6472" 741 1224 25
"3947" 1360 1483 16
"20971" 341 476 63
"24274" 1114 457 73
"5989" 419 469 24
"767" 444 1059 11
"22423" 1330 1525 62
"23567" 1253 1470 70
"6642" 1315 528 23
"8919" 1291 938 28
"23005" 663 1420 69
"25927" 1506 1406 77
"3158" 1076 1009 13
"14576" 664 472 55
"16093" 299 1394 51
"29238" 646 641 83
"30439" 955 289 83
"30039" 843 1338 89
"21571" 1041 386 64
"9804" 188 68 30
"6475" 747 177 24
"3713" 453 507 19
"26796" 438 442 87
"1899" 91 945 9
"10693" 562 1370 37
"5827" 1211 803 19
"5069" 1273 856 18
"15184" 1317 1351 49
"13038" 700 848 42
"21731" 39 1482 61
"29564" 539 206 91
"23777" 670 1183 66
"6168" 1029 849 21
"23306" 235 1250 70
"10755" 809 334 37
"11646" 1168 911 34
"3222" 1379 1409 12
"24573" 739 1421 68
